[2023-02-05 21:59:38] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 21:59:38] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.97
- args.prior_precision   : 40.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000003_mo-0.97_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 21:59:43] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 22:00:26] [Epoch     1/  500] trn/posterior_energy  4.226e+06, trn/neg_log_likelihood  8.086e+04, trn/neg_log_prior  4.145e+06, trn/lr  3.000e-07, val/acc 4.091e-01, val/nll 1.581e+00 (best_acc: 0.000e+00 -> 4.091e-01, test_acc: 4.145e-01, test_nll: 1.574e+00)
[2023-02-05 22:00:40] [Epoch     2/  500] trn/posterior_energy  4.158e+06, trn/neg_log_likelihood  6.332e+04, trn/neg_log_prior  4.094e+06, trn/lr  3.000e-07, val/acc 4.275e-01, val/nll 1.547e+00 (best_acc: 4.091e-01 -> 4.275e-01, test_acc: 4.282e-01, test_nll: 1.556e+00)
[2023-02-05 22:00:54] [Epoch     3/  500] trn/posterior_energy  4.115e+06, trn/neg_log_likelihood  5.439e+04, trn/neg_log_prior  4.061e+06, trn/lr  3.000e-07, val/acc 5.529e-01, val/nll 1.243e+00 (best_acc: 4.275e-01 -> 5.529e-01, test_acc: 5.508e-01, test_nll: 1.254e+00)
[2023-02-05 22:01:08] [Epoch     4/  500] trn/posterior_energy  4.088e+06, trn/neg_log_likelihood  4.825e+04, trn/neg_log_prior  4.040e+06, trn/lr  3.000e-07, val/acc 5.690e-01, val/nll 1.215e+00 (best_acc: 5.529e-01 -> 5.690e-01, test_acc: 5.710e-01, test_nll: 1.229e+00)
[2023-02-05 22:01:23] [Epoch     5/  500] trn/posterior_energy  4.070e+06, trn/neg_log_likelihood  4.361e+04, trn/neg_log_prior  4.026e+06, trn/lr  2.999e-07, val/acc 6.309e-01, val/nll 1.007e+00 (best_acc: 5.690e-01 -> 6.309e-01, test_acc: 6.332e-01, test_nll: 1.021e+00)
[2023-02-05 22:01:37] [Epoch     6/  500] trn/posterior_energy  4.057e+06, trn/neg_log_likelihood  3.919e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.999e-07, val/acc 6.824e-01, val/nll 9.028e-01 (best_acc: 6.309e-01 -> 6.824e-01, test_acc: 6.736e-01, test_nll: 9.267e-01)
[2023-02-05 22:01:51] [Epoch     7/  500] trn/posterior_energy  4.047e+06, trn/neg_log_likelihood  3.406e+04, trn/neg_log_prior  4.013e+06, trn/lr  2.999e-07, val/acc 6.977e-01, val/nll 8.789e-01 (best_acc: 6.824e-01 -> 6.977e-01, test_acc: 6.903e-01, test_nll: 9.010e-01)
[2023-02-05 22:02:05] [Epoch     8/  500] trn/posterior_energy  4.041e+06, trn/neg_log_likelihood  3.133e+04, trn/neg_log_prior  4.010e+06, trn/lr  2.998e-07, val/acc 6.981e-01, val/nll 9.186e-01 (best_acc: 6.977e-01 -> 6.981e-01, test_acc: 6.930e-01, test_nll: 9.186e-01)
[2023-02-05 22:02:19] [Epoch     9/  500] trn/posterior_energy  4.037e+06, trn/neg_log_likelihood  2.870e+04, trn/neg_log_prior  4.008e+06, trn/lr  2.998e-07, val/acc 7.445e-01, val/nll 7.494e-01 (best_acc: 6.981e-01 -> 7.445e-01, test_acc: 7.391e-01, test_nll: 7.568e-01)
[2023-02-05 22:02:33] [Epoch    10/  500] trn/posterior_energy  4.034e+06, trn/neg_log_likelihood  2.643e+04, trn/neg_log_prior  4.007e+06, trn/lr  2.997e-07, val/acc 7.448e-01, val/nll 7.778e-01 (best_acc: 7.445e-01 -> 7.448e-01, test_acc: 7.414e-01, test_nll: 7.845e-01)
[2023-02-05 22:02:47] [Epoch    11/  500] trn/posterior_energy  4.031e+06, trn/neg_log_likelihood  2.476e+04, trn/neg_log_prior  4.007e+06, trn/lr  2.997e-07, val/acc 7.783e-01, val/nll 6.552e-01 (best_acc: 7.448e-01 -> 7.783e-01, test_acc: 7.807e-01, test_nll: 6.554e-01)
[2023-02-05 22:02:59] [Epoch    12/  500] trn/posterior_energy  4.031e+06, trn/neg_log_likelihood  2.440e+04, trn/neg_log_prior  4.007e+06, trn/lr  2.996e-07, val/acc 7.477e-01, val/nll 7.324e-01
[2023-02-05 22:03:13] [Epoch    13/  500] trn/posterior_energy  4.030e+06, trn/neg_log_likelihood  2.268e+04, trn/neg_log_prior  4.007e+06, trn/lr  2.995e-07, val/acc 8.012e-01, val/nll 5.952e-01 (best_acc: 7.783e-01 -> 8.012e-01, test_acc: 7.958e-01, test_nll: 6.024e-01)
[2023-02-05 22:03:27] [Epoch    14/  500] trn/posterior_energy  4.029e+06, trn/neg_log_likelihood  2.128e+04, trn/neg_log_prior  4.007e+06, trn/lr  2.995e-07, val/acc 8.051e-01, val/nll 5.793e-01 (best_acc: 8.012e-01 -> 8.051e-01, test_acc: 8.016e-01, test_nll: 5.950e-01)
[2023-02-05 22:03:39] [Epoch    15/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  2.023e+04, trn/neg_log_prior  4.008e+06, trn/lr  2.994e-07, val/acc 7.850e-01, val/nll 6.543e-01
[2023-02-05 22:03:51] [Epoch    16/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.989e+04, trn/neg_log_prior  4.008e+06, trn/lr  2.993e-07, val/acc 7.436e-01, val/nll 7.449e-01
[2023-02-05 22:04:03] [Epoch    17/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.890e+04, trn/neg_log_prior  4.009e+06, trn/lr  2.992e-07, val/acc 7.981e-01, val/nll 6.164e-01
[2023-02-05 22:04:15] [Epoch    18/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  1.810e+04, trn/neg_log_prior  4.009e+06, trn/lr  2.991e-07, val/acc 7.968e-01, val/nll 6.022e-01
[2023-02-05 22:04:28] [Epoch    19/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  1.781e+04, trn/neg_log_prior  4.010e+06, trn/lr  2.990e-07, val/acc 8.039e-01, val/nll 5.887e-01
