[2023-05-31 04:48:21] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-05-31 04:48:21] Command line arguments:
- args.data_root             : ./data/
- args.data_name             : ImageNet1k_x64
- args.resnet_depth          : 50
- args.resnet_width          : 1
- args.batch_size            : 1024
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 128000
- args.optim_lr              : 0.4
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.1
- args.optim_global_clipping : None
- args.save                  : ./save/ImageNet1k_x64/resnet_50x1-batch_1024-iter_128k-lr_0.4-wd_0.0001-fp16/42/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-05-31 05:49:00] [Iter   12000/ 128000] trn/loss 3.270e+00, trn/negative_log_likelihood 3.270e+00, trn/w_norm 1.435e+02, trn/g_norm 1.009e+00, trn/lr 3.594e-01, trn/dyn_scale 6.554e+04, val/acc 3.977e-01, val/nll 2.749e+00, val/best_acc 3.977e-01 (best_acc: 3.933e-01 -> 3.977e-01), tst/acc 3.977e-01, tst/nll 2.749e+00
[2023-05-31 05:53:54] [Iter   13000/ 128000] trn/loss 2.949e+00, trn/negative_log_likelihood 2.949e+00, trn/w_norm 1.392e+02, trn/g_norm inf, trn/lr 3.900e-01, trn/dyn_scale 6.550e+04, val/acc 4.305e-01, val/nll 2.595e+00, val/best_acc 4.305e-01 (best_acc: 3.977e-01 -> 4.305e-01), tst/acc 4.305e-01, tst/nll 2.595e+00
[2023-05-31 05:58:43] [Iter   14000/ 128000] trn/loss 2.878e+00, trn/negative_log_likelihood 2.878e+00, trn/w_norm 1.344e+02, trn/g_norm inf, trn/lr 4.000e-01, trn/dyn_scale 6.550e+04, val/acc 4.186e-01, val/nll 2.669e+00, val/best_acc 4.305e-01
[2023-05-31 06:03:31] [Iter   15000/ 128000] trn/loss 2.830e+00, trn/negative_log_likelihood 2.830e+00, trn/w_norm 1.332e+02, trn/g_norm 9.427e-01, trn/lr 3.998e-01, trn/dyn_scale 6.554e+04, val/acc 4.098e-01, val/nll 2.723e+00, val/best_acc 4.305e-01
[2023-05-31 06:08:21] [Iter   16000/ 128000] trn/loss 2.844e+00, trn/negative_log_likelihood 2.844e+00, trn/w_norm 1.365e+02, trn/g_norm 9.639e-01, trn/lr 3.995e-01, trn/dyn_scale 6.554e+04, val/acc 3.939e-01, val/nll 2.825e+00, val/best_acc 4.305e-01
[2023-05-31 06:13:15] [Iter   17000/ 128000] trn/loss 2.872e+00, trn/negative_log_likelihood 2.872e+00, trn/w_norm 1.414e+02, trn/g_norm 9.708e-01, trn/lr 3.990e-01, trn/dyn_scale 6.554e+04, val/acc 4.739e-01, val/nll 2.431e+00, val/best_acc 4.739e-01 (best_acc: 4.305e-01 -> 4.739e-01), tst/acc 4.739e-01, tst/nll 2.431e+00
[2023-05-31 06:18:05] [Iter   18000/ 128000] trn/loss 2.739e+00, trn/negative_log_likelihood 2.739e+00, trn/w_norm 1.381e+02, trn/g_norm inf, trn/lr 3.984e-01, trn/dyn_scale 6.550e+04, val/acc 4.537e-01, val/nll 2.473e+00, val/best_acc 4.739e-01
[2023-05-31 06:22:56] [Iter   19000/ 128000] trn/loss 2.766e+00, trn/negative_log_likelihood 2.766e+00, trn/w_norm 1.368e+02, trn/g_norm 9.742e-01, trn/lr 3.976e-01, trn/dyn_scale 6.554e+04, val/acc 4.484e-01, val/nll 2.546e+00, val/best_acc 4.739e-01
[2023-05-31 06:27:44] [Iter   20000/ 128000] trn/loss 2.712e+00, trn/negative_log_likelihood 2.712e+00, trn/w_norm 1.384e+02, trn/g_norm 9.463e-01, trn/lr 3.967e-01, trn/dyn_scale 6.554e+04, val/acc 4.659e-01, val/nll 2.413e+00, val/best_acc 4.739e-01
[2023-05-31 06:32:35] [Iter   21000/ 128000] trn/loss 2.676e+00, trn/negative_log_likelihood 2.676e+00, trn/w_norm 1.364e+02, trn/g_norm inf, trn/lr 3.956e-01, trn/dyn_scale 6.550e+04, val/acc 4.622e-01, val/nll 2.435e+00, val/best_acc 4.739e-01
