[2023-02-04 19:13:57] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-04 19:13:57] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.7
- args.prior_precision   : 2.5
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000010_mo-0.70_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 19:14:12] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-04 19:18:12] [Epoch    16/  500] trn/posterior_energy -1.962e+06, trn/neg_log_likelihood  1.099e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.976e-07, val/acc 7.895e-01, val/nll 6.712e-01 (best_acc: 7.871e-01 -> 7.895e-01, test_acc: 7.870e-01, test_nll: 6.753e-01)
[2023-02-04 19:18:24] [Epoch    17/  500] trn/posterior_energy -1.963e+06, trn/neg_log_likelihood  9.309e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.973e-07, val/acc 7.711e-01, val/nll 7.807e-01
[2023-02-04 19:18:36] [Epoch    18/  500] trn/posterior_energy -1.965e+06, trn/neg_log_likelihood  7.695e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.970e-07, val/acc 7.863e-01, val/nll 7.381e-01
[2023-02-04 19:18:50] [Epoch    19/  500] trn/posterior_energy -1.966e+06, trn/neg_log_likelihood  6.196e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.966e-07, val/acc 7.982e-01, val/nll 7.296e-01 (best_acc: 7.895e-01 -> 7.982e-01, test_acc: 7.995e-01, test_nll: 7.222e-01)
[2023-02-04 19:19:02] [Epoch    20/  500] trn/posterior_energy -1.967e+06, trn/neg_log_likelihood  5.255e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.963e-07, val/acc 7.906e-01, val/nll 8.091e-01
[2023-02-04 19:19:14] [Epoch    21/  500] trn/posterior_energy -1.968e+06, trn/neg_log_likelihood  4.317e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.959e-07, val/acc 7.940e-01, val/nll 7.933e-01
[2023-02-04 19:19:26] [Epoch    22/  500] trn/posterior_energy -1.969e+06, trn/neg_log_likelihood  3.817e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.954e-07, val/acc 7.935e-01, val/nll 8.463e-01
[2023-02-04 19:19:38] [Epoch    23/  500] trn/posterior_energy -1.970e+06, trn/neg_log_likelihood  2.919e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.950e-07, val/acc 7.944e-01, val/nll 8.321e-01
[2023-02-04 19:19:52] [Epoch    24/  500] trn/posterior_energy -1.970e+06, trn/neg_log_likelihood  2.219e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.946e-07, val/acc 8.062e-01, val/nll 8.375e-01 (best_acc: 7.982e-01 -> 8.062e-01, test_acc: 8.026e-01, test_nll: 8.299e-01)
[2023-02-04 19:20:04] [Epoch    25/  500] trn/posterior_energy -1.970e+06, trn/neg_log_likelihood  2.535e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.941e-07, val/acc 7.993e-01, val/nll 8.567e-01
[2023-02-04 19:20:16] [Epoch    26/  500] trn/posterior_energy -1.971e+06, trn/neg_log_likelihood  2.038e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.936e-07, val/acc 7.813e-01, val/nll 9.485e-01
[2023-02-04 19:20:30] [Epoch    27/  500] trn/posterior_energy -1.971e+06, trn/neg_log_likelihood  1.456e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.931e-07, val/acc 8.149e-01, val/nll 8.532e-01 (best_acc: 8.062e-01 -> 8.149e-01, test_acc: 8.141e-01, test_nll: 8.493e-01)
[2023-02-04 19:20:42] [Epoch    28/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  6.640e+02, trn/neg_log_prior -1.973e+06, trn/lr  9.926e-07, val/acc 7.851e-01, val/nll 1.011e+00
[2023-02-04 19:20:54] [Epoch    29/  500] trn/posterior_energy -1.971e+06, trn/neg_log_likelihood  2.113e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.920e-07, val/acc 8.083e-01, val/nll 8.701e-01
[2023-02-04 19:21:06] [Epoch    30/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  1.244e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.914e-07, val/acc 7.895e-01, val/nll 9.841e-01
[2023-02-04 19:21:18] [Epoch    31/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  7.247e+02, trn/neg_log_prior -1.973e+06, trn/lr  9.908e-07, val/acc 8.124e-01, val/nll 8.963e-01
[2023-02-04 19:21:30] [Epoch    32/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  4.679e+02, trn/neg_log_prior -1.973e+06, trn/lr  9.902e-07, val/acc 8.044e-01, val/nll 9.554e-01
[2023-02-04 19:21:42] [Epoch    33/  500] trn/posterior_energy -1.973e+06, trn/neg_log_likelihood  3.388e+02, trn/neg_log_prior -1.973e+06, trn/lr  9.896e-07, val/acc 8.129e-01, val/nll 9.734e-01
[2023-02-04 19:21:57] [Epoch    34/  500] trn/posterior_energy -1.973e+06, trn/neg_log_likelihood  2.761e+02, trn/neg_log_prior -1.973e+06, trn/lr  9.890e-07, val/acc 8.215e-01, val/nll 9.297e-01 (best_acc: 8.149e-01 -> 8.215e-01, test_acc: 8.176e-01, test_nll: 9.249e-01)
[2023-02-04 19:22:09] [Epoch    35/  500] trn/posterior_energy -1.973e+06, trn/neg_log_likelihood  1.028e+02, trn/neg_log_prior -1.973e+06, trn/lr  9.883e-07, val/acc 8.155e-01, val/nll 9.560e-01
[2023-02-04 19:22:21] [Epoch    36/  500] trn/posterior_energy -1.973e+06, trn/neg_log_likelihood  3.286e+02, trn/neg_log_prior -1.973e+06, trn/lr  9.876e-07, val/acc 8.071e-01, val/nll 1.006e+00
[2023-02-04 19:22:33] [Epoch    37/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  1.270e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.869e-07, val/acc 7.983e-01, val/nll 9.831e-01
[2023-02-04 19:22:46] [Epoch    38/  500] trn/posterior_energy -1.972e+06, trn/neg_log_likelihood  1.801e+03, trn/neg_log_prior -1.973e+06, trn/lr  9.862e-07, val/acc 8.116e-01, val/nll 8.925e-01
[2023-02-04 19:22:58] [Epoch    39/  500] trn/posterior_energy -1.973e+06, trn/neg_log_likelihood  3.181e+02, trn/neg_log_prior -1.973e+06, trn/lr  9.854e-07, val/acc 8.069e-01, val/nll 9.993e-01
[2023-02-04 19:23:12] [Epoch    40/  500] trn/posterior_energy -1.973e+06, trn/neg_log_likelihood  7.989e+01, trn/neg_log_prior -1.973e+06, trn/lr  9.847e-07, val/acc 8.263e-01, val/nll 8.959e-01 (best_acc: 8.215e-01 -> 8.263e-01, test_acc: 8.233e-01, test_nll: 8.945e-01)
